Type,Energy Density (J/g),Power Density (W/g),Charge time,Cycle/life,,,,,,,,,,,
Carbon Ultracapacitors,8.34364399,71.81533694,0.000277778,500000,,,,,,,,,,,
Graphene Ultra,308.16,2.7,0,1000000,,,,,,,,,,,
Lithium Ion,768.7,0.236,4,700,,,,,,,,,,,
Fuel Cells,1584,0.04,0.083333333,100,,,,,,,,,,,
Lead Acid,127.8947368,0.001776316,15,600,,,,,,,,,,,
Gasoline,44400,80000,0.083333333,1,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Cost ($/KJ),Sustainability,,,,,,,,,
,,,,,1043.254138,5,,,,,,,,,
,,,,,10000,4,,,,,,,,,
,,,,,0.130555556,1,,,,,,,,,
,,,,,1000,3,,,,,,,,,
,,,,,0.031111111,2,,,,,,,,,
,,,,,2.94E-05,0,,,,,,,,,
